Date,Headline,Ticker,Content
2020-06-05 06:30:54 UTC,Stocks That Hit 52-Week Highs On Friday,A,
2020-06-03 06:45:20 UTC,Stocks That Hit 52-Week Highs On Wednesday,A,
2020-05-26 00:30:07 UTC,71 Biggest Movers From Friday,A,
2020-05-22 08:45:06 UTC,46 Stocks Moving In Friday's Mid-Day Session,A,
2020-05-22 07:38:59 UTC,"B of A Securities Maintains Neutral on Agilent Technologies, Raises Price Target to $88",A,
2020-05-22 07:23:25 UTC,"CFRA Maintains Hold on Agilent Technologies, Lowers Price Target to $85",A,
2020-05-22 05:36:20 UTC,"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $87",A,
2020-05-22 05:07:04 UTC,Agilent Technologies shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,A,
2020-05-22 04:37:59 UTC,"Wells Fargo Maintains Overweight on Agilent Technologies, Raises Price Target to $95",A,
2020-05-22 04:06:17 UTC,10 Biggest Price Target Changes For Friday,A,
2020-05-22 00:00:00 UTC,30 Stocks Moving in Friday's Pre-Market Session,A,
2020-05-22 00:00:00 UTC,"SVB Leerink Maintains Outperform on Agilent Technologies, Raises Price Target to $95",A,
2020-05-21 00:00:00 UTC,8 Stocks Moving In Thursday's After-Hours Session,A,
2020-05-21 00:00:00 UTC,Agilent Technologies shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,A,
2020-05-21 00:00:00 UTC,"Agilent Technologies Q2 Adj. EPS $0.71 Beats $0.61 Estimate, Sales $1.24B Beat $1.21B Estimate",A,
2020-05-21 00:00:00 UTC,"Earnings Scheduled For May 21, 2020",A,
2020-05-18 00:00:00 UTC,Agilent Technologies Receives FDA Approval for PD-L1 as a Companion Diagnostic,A,
2020-05-16 00:00:00 UTC,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",A,
2020-05-15 00:00:00 UTC,"Pershing Square 13F Shows Fund Raises Stake In Agilent Technologies To 12,626,593 Shares",A,
2020-05-08 00:00:00 UTC,How Bill Ackman Successfully Navigated Coronavirus Market Volatility,A,
2020-05-05 00:00:00 UTC,Shares of several healthcare companies are trading higher amid positive investor sentiment as some US states begin to reopen their economies and as oil prices gain for the session.,A,
2020-05-01 00:00:00 UTC,Shares of several healthcare companies are trading lower as markets dip following recent strength. Markets have sold off as investors weigh recent earnings and amid concerns of renewed US-China trade frictions.,A,
2020-04-28 00:00:00 UTC,"UBS Maintains Neutral on Agilent Technologies, Lowers Price Target to $84",A,
2020-04-23 00:00:00 UTC,Agilent Reports FDA Approval For PD-L1 Companion Diagnostic On Dako Omni,A,
2020-04-22 00:00:00 UTC,Agilent Reports Has Become Top-Level Sponsor Of My Green Lab,A,
2020-04-14 00:00:00 UTC,Agilent Withdraws Q2 And FY20 Guidance,A,
2020-04-08 00:00:00 UTC,"Shares of several companies in the auto dealer space are trading higher amid positive market sentiment. Speculation some coronavirus hotspots leveling off has raised hopes of a return to economic activity, which could mean a rebound in consumer spending.",A,
2020-04-06 00:00:00 UTC,Shares of several healthcare companies are trading higher as markets gain amid optimism that coronavirus cases in several US hotspots may be peaking. A sooner peak could mean a sooner return to economic activity.,A,
2020-04-02 00:00:00 UTC,"Stifel Maintains Hold on Agilent Technologies, Lowers Price Target to $73",A,
2020-04-01 00:00:00 UTC,Shares of several healthcare companies are trading lower amid market weakness as growing coronavirus concerns in the US weigh on equities.,A,
2020-03-31 00:00:00 UTC,"Int'l. Air Transport Authority Chief Economist Sees Consolidation In Airline Sector As Some Airlines Fail, Calls Signs In Chinese Domestic Market 'Encouraging,' Load Factors Are About 60%",A,
2020-03-30 00:00:00 UTC,"Wells Fargo Maintains Overweight on Agilent Technologies, Lowers Price Target to $82",A,
2020-03-30 00:00:00 UTC,Shares of several technology companies are trading higher as equities continue to rise following last week's rebound amid US stimulus measures.,A,
2020-03-27 00:00:00 UTC,"Shares of several healthcare companies are trading lower, selling off from this week's strength. While the US stimulus package boosted economic optimism, demand concerns still exist amid the coronavirus outbreak.",A,
2020-03-26 00:00:00 UTC,"Shares of several healthcare companies are trading higher following Senate passage of a $2 trillion economic stimulus package, which has lifted stocks across sectors.",A,
2020-03-26 00:00:00 UTC,"Barclays Maintains Equal-Weight on Agilent Technologies, Lowers Price Target to $76",A,
2020-03-26 00:00:00 UTC,Ariel Chairman John Rogers Thinks Current Market Is 'Once In A Lifetime Opportunity To Buy Stocks',A,
2020-03-20 00:00:00 UTC,"Citigroup Maintains Neutral on Agilent Technologies, Lowers Price Target to $75",A,
2020-03-16 00:00:00 UTC,Stocks That Hit 52-Week Lows On Monday,A,
2020-03-16 00:00:00 UTC,Shares of several healthcare companies are trading lower in sympathy with the overall market on continued downward momentum caused by the coronavirus. The virus has had a negative impact on the global economy.,A,
2020-03-13 00:00:00 UTC,"Shares of several basic materials companies are trading higher, rebounding following Thursday's crash. The sector has been volatile amid the coronavirus outbreak, which has disrupted economic activity. NOTE: While markets rebound, virus fears persist.",A,
2020-03-12 00:00:00 UTC,Stocks That Hit 52-Week Lows On Thursday,A,
2020-03-11 00:00:00 UTC,"Shares of several coronavirus-related companies including vaccine makers, protective apparel manufacturers and emergency medical suppliers are trading higher as the coronavirus continues to spread globally.",A,
2020-03-03 00:00:00 UTC,"Agilent Technologies Inc Says In January 2020, Net Revenue Was Negatively Impacted Due To The Public Health Crisis In China; Says In Jan 2020, Net Revenue Negatively Impacted Also Due To Extension Of Lunar New Year Resulting In Fewer Selling Days In Month",A,
2020-03-02 00:00:00 UTC,Shares of several healthcare companies are trading higher in sympathy with the overall market as it rebounds from a selloff caused by coronavirus fears.,A,
2020-02-24 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For February 24, 2020",A,
2020-02-24 00:00:00 UTC,Shares of several software companies are trading lower as the coronavirus cases surge outside of China. NOTE: The virus has raised fear of a global economic slowdown.,A,
2020-02-24 00:00:00 UTC,"Needham Downgrades Agilent Technologies to Hold, Announces $85 Price Target",A,
2020-02-19 00:00:00 UTC,"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $90",A,
2020-02-18 00:00:00 UTC,12 Stocks Moving In Tuesday's After-Hours Session,A,
2020-02-18 00:00:00 UTC,Agilent Technologies shares are trading lower after the company reported Q1 earnings.,A,
2020-02-18 00:00:00 UTC,"Agilent Reaffirms FY20 Guidance: Adj. EPS $3.38-$3.43 vs $3.42 Estimate, Sales $5.5B-$5.55B vs $5.54B Est.",A,
2020-02-18 00:00:00 UTC,"Agilent Technologies Q1 EPS $0.81, Inline, Sales $1.36B Up From $1.284B YoY",A,
2020-02-18 00:00:00 UTC,"Q4 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",A,
